rating_count,rating,review_time_since_days,rating_label,review_length,location_cluster,street,city,postal_code,sentiment_compound,sentiment_label_vader,sentiment_polarity,sentiment_subjectivity,rating_normalized,review_word_count,rating_vs_sentiment_gap
1240,1,730,bad,479,8,13749 US-183 Hwy,Austin,78750,0.875,positive,0.10555555555555558,0.45555555555555555,0.0,88,-0.875
1240,4,365,neutral,166,8,13749 US-183 Hwy,Austin,78750,-0.2617,negative,0.19047619047619047,0.41428571428571426,0.75,34,1.0117
1240,5,365,good,91,8,13749 US-183 Hwy,Austin,78750,0.7258,positive,0.4855555555555556,0.8366666666666668,1.0,18,0.2742
1240,4,365,neutral,102,8,13749 US-183 Hwy,Austin,78750,0.8016,positive,0.75,0.875,0.75,19,-0.0516
1240,1,210,bad,120,8,13749 US-183 Hwy,Austin,78750,-0.0258,neutral,-0.15,0.65,0.0,21,0.0258
1240,4,1095,neutral,559,8,13749 US-183 Hwy,Austin,78750,0.6369,positive,-0.043939393939393945,0.3132575757575758,0.75,105,0.1131
1240,4,730,neutral,248,8,13749 US-183 Hwy,Austin,78750,0.0498,neutral,0.155,0.59,0.75,45,0.7002
1240,1,730,bad,304,8,13749 US-183 Hwy,Austin,78750,-0.8429,negative,-0.29444444444444445,0.5208333333333334,0.0,51,0.8429
1240,3,1825,neutral,305,8,13749 US-183 Hwy,Austin,78750,0.9246,positive,0.2885416666666667,0.6228098290598291,0.5,55,-0.4246
1240,5,365,good,136,8,13749 US-183 Hwy,Austin,78750,-0.34,negative,0.2,0.6,1.0,24,1.34
1240,3,1095,neutral,420,8,13749 US-183 Hwy,Austin,78750,0.5994,positive,0.12500000000000003,0.5750000000000001,0.5,79,-0.0994
1240,1,730,bad,137,8,13749 US-183 Hwy,Austin,78750,0.4767,positive,0.02857142857142858,0.7523809523809524,0.0,25,-0.4767
1240,1,365,bad,210,8,13749 US-183 Hwy,Austin,78750,-0.5719,negative,-0.45,0.75,0.0,37,0.5719
1240,1,1095,bad,389,8,13749 US-183 Hwy,Austin,78750,-0.7227,negative,-0.10945165945165944,0.539129389129389,0.0,80,0.7227
1240,1,365,bad,394,8,13749 US-183 Hwy,Austin,78750,-0.6493,negative,-0.016666666666666663,0.39583333333333337,0.0,76,0.6493
1240,1,1825,bad,327,8,13749 US-183 Hwy,Austin,78750,0.5799,positive,0.14375,0.4083333333333334,0.0,66,-0.5799
1240,1,1095,bad,742,8,13749 US-183 Hwy,Austin,78750,-0.4724,negative,-0.018578869047619052,0.40575091575091565,0.0,154,0.4724
1240,1,1825,bad,372,8,13749 US-183 Hwy,Austin,78750,-0.8042,negative,-0.17749999999999996,0.5916666666666667,0.0,72,0.8042
1240,3,1460,neutral,364,8,13749 US-183 Hwy,Austin,78750,-0.794,negative,0.005134680134680131,0.4015410515410515,0.5,75,1.294
1240,1,1095,bad,293,8,13749 US-183 Hwy,Austin,78750,0.5684,positive,-0.21629807692307695,0.32461538461538464,0.0,62,-0.5684
1240,1,1460,bad,856,8,13749 US-183 Hwy,Austin,78750,-0.9449,negative,-0.1086734693877551,0.4674319727891156,0.0,163,0.9449
1240,1,730,bad,335,8,13749 US-183 Hwy,Austin,78750,-0.7453,negative,-0.01874999999999996,0.5104166666666666,0.0,61,0.7453
1240,1,1095,bad,155,8,13749 US-183 Hwy,Austin,78750,-0.9455,negative,-0.19166666666666668,0.48333333333333334,0.0,27,0.9455
1240,5,180,good,54,8,13749 US-183 Hwy,Austin,78750,0.6696,positive,1.0,0.3,1.0,11,0.3304
1240,4,365,neutral,259,8,13749 US-183 Hwy,Austin,78750,0.8966,positive,0.2285714285714286,0.2785714285714286,0.75,47,-0.1466
1240,5,730,good,386,8,13749 US-183 Hwy,Austin,78750,0.9773,positive,0.6122448979591837,0.6551020408163266,1.0,76,0.0227
1240,3,365,neutral,178,8,13749 US-183 Hwy,Austin,78750,0.4215,positive,0.0,0.0,0.5,40,0.0785
1240,1,2190,bad,475,8,13749 US-183 Hwy,Austin,78750,-0.4632,negative,-0.05138888888888887,0.6722222222222222,0.0,90,0.4632
1240,1,730,bad,255,8,13749 US-183 Hwy,Austin,78750,-0.8586,negative,-0.24285714285714288,0.7871428571428571,0.0,49,0.8586
1240,1,1460,bad,203,8,13749 US-183 Hwy,Austin,78750,-0.4404,negative,-0.14106060606060605,0.6092424242424241,0.0,38,0.4404
1240,1,2555,bad,431,8,13749 US-183 Hwy,Austin,78750,-0.1058,negative,-0.18,0.5366666666666667,0.0,81,0.1058
1240,1,2190,bad,669,8,13749 US-183 Hwy,Austin,78750,0.1027,positive,-0.016243386243386244,0.4791005291005292,0.0,123,-0.1027
1240,1,1460,bad,287,8,13749 US-183 Hwy,Austin,78750,0.3975,positive,0.25,0.4,0.0,55,-0.3975
